student_id,initial_infection,c1,c2,c3
0,0,-1,0,2
1,0,-1,2,0
2,1,-1,1,0
3,0,-1,2,0
4,0,0,-1,1
5,0,-1,1,2
6,1,2,0,-1
7,1,2,0,-1
8,0,1,0,-1
9,1,0,2,-1
10,1,1,2,-1
11,0,0,-1,2
12,1,1,-1,2
13,0,-1,2,1
14,0,-1,1,2
15,0,1,0,2
16,1,2,0,1
17,1,0,2,1
18,0,-1,0,1
19,0,0,1,2
20,1,1,0,-1
21,0,1,2,-1
22,0,0,2,-1
23,1,-1,1,0
24,0,2,1,0
25,0,1,0,-1
26,1,2,1,0
27,0,2,1,0
28,1,2,0,1
29,1,-1,1,0
30,1,0,-1,1
31,1,2,1,0
32,1,0,2,-1
33,0,1,-1,2
34,0,-1,0,1
35,1,2,0,1
36,1,1,2,0
37,1,1,-1,0
38,1,1,-1,0
39,1,1,-1,2
40,0,2,-1,1
41,0,0,-1,1
42,0,2,1,-1
43,0,2,-1,0
44,0,2,-1,0
45,1,0,2,-1
46,1,-1,0,1
47,1,1,-1,0
48,1,1,-1,0
49,0,-1,0,1
50,1,0,-1,1
51,1,0,1,-1
52,0,-1,2,0
53,1,1,-1,2
54,1,2,-1,0
55,1,0,-1,1
56,0,0,1,-1
57,0,0,2,1
58,0,2,-1,0
59,1,1,2,-1
60,1,2,0,1
61,1,1,-1,2
62,1,2,1,0
63,1,-1,0,2
64,0,2,-1,0
65,1,-1,0,1
66,1,1,2,-1
67,0,0,2,-1
68,1,1,-1,2
69,0,1,2,-1
70,0,1,2,0
71,1,0,-1,2
72,0,0,-1,2
73,0,0,-1,2
74,0,2,1,-1
75,1,-1,2,0
76,0,1,0,2
77,1,1,-1,0
78,1,1,0,2
79,1,0,1,-1
80,1,1,0,-1
81,0,1,0,-1
82,1,2,1,-1
83,0,1,-1,0
84,1,-1,1,0
85,1,0,1,2
86,0,2,1,0
87,1,0,2,1
88,1,1,-1,0
89,0,0,-1,2
90,1,2,-1,1
91,1,-1,2,0
92,0,0,-1,1
93,0,-1,1,2
94,0,2,-1,1
95,0,1,-1,0
96,1,0,-1,1
97,1,1,-1,2
98,0,-1,2,0
99,1,-1,1,2
