+------------------+--------------------+---------------------+-------------------+
| Current Infected | Allowed per Course |      Community Risk | Infected Students |
+------------------+--------------------+---------------------+-------------------+
|               20 |                  0 |                 0.1 |                 0 |
|                0 |                  0 |                0.16 |                 0 |
|                0 |                  0 |                0.22 |                 0 |
|                0 |                  0 |                0.28 |                 0 |
|                0 |                  0 | 0.33999999999999997 |                 0 |
|                0 |                  0 |                 0.4 |                 0 |
|                0 |                  0 | 0.45999999999999996 |                 0 |
|                0 |                  0 |                0.52 |                 0 |
|                0 |                  0 |                0.58 |                 0 |
|                0 |                  0 |                0.64 |                 0 |
|                0 |                  0 |                 0.7 |                 0 |
|                0 |                  0 |  0.7599999999999999 |                 0 |
|                0 |                  0 |                0.82 |                 0 |
|                0 |                  0 |                0.88 |                 0 |
|                0 |                  0 |                0.94 |                 0 |
|                0 |                 50 |                 0.1 |                 2 |
|                2 |                 50 |                0.16 |                 4 |
|                4 |                 50 |                0.22 |                 6 |
|                6 |                 50 |                0.28 |                 8 |
|                8 |                 50 | 0.33999999999999997 |                10 |
|               10 |                 50 |                 0.4 |                12 |
|               12 |                 50 | 0.45999999999999996 |                14 |
|               14 |                 50 |                0.52 |                16 |
|               16 |                 50 |                0.58 |                18 |
|               18 |                 50 |                0.64 |                20 |
|               20 |                 50 |                 0.7 |                22 |
|               22 |                 50 |  0.7599999999999999 |                24 |
|               24 |                 50 |                0.82 |                26 |
|               26 |                 50 |                0.88 |                28 |
|               28 |                 50 |                0.94 |                30 |
|               30 |                100 |                 0.1 |                25 |
|               25 |                100 |                0.16 |                28 |
|               28 |                100 |                0.22 |                36 |
|               36 |                100 |                0.28 |                46 |
|               46 |                100 | 0.33999999999999997 |                57 |
|               57 |                100 |                 0.4 |                68 |
|               68 |                100 | 0.45999999999999996 |                80 |
|               80 |                100 |                0.52 |                92 |
|               92 |                100 |                0.58 |               100 |
|              100 |                100 |                0.64 |               100 |
|              100 |                100 |                 0.7 |               100 |
|              100 |                100 |  0.7599999999999999 |               100 |
|              100 |                100 |                0.82 |               100 |
|              100 |                100 |                0.88 |               100 |
|              100 |                100 |                0.94 |               100 |
+------------------+--------------------+---------------------+-------------------+
